"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YPL095C","EEB1",3.71725611739377,3.73491534126818,0.0176592238744122,5.32640965918358,9.91506001426902e-11,3.27113733434647e-08,289.242352264421
"YEL070W","DSF1",-7.40326649734105,-6.52884634084205,0.874420156498996,6.53856369989179,1.00391266735526e-10,3.27113733434647e-08,289.188539785028
"YDR085C","AFR1",-2.77451110683684,0.934607190252935,3.70911829708978,4.60051756953366,1.03068525698195e-10,3.27113733434647e-08,287.321911081915
"YJL212C","OPT1",5.36731641784612,2.92171919893155,-2.44559721891458,4.61134701407433,1.26630165782861e-10,3.78251754026688e-08,277.625629294616
"YBR117C","TKL2",-2.98211839592132,1.73248789081593,4.71460628673725,4.37070533183658,1.75631197521161e-10,4.95475122784699e-08,262.073445508597
"YIR019C","FLO11",-5.39672552011844,-3.10363356690635,2.29309195321209,10.3468440107449,2.04437541973949e-10,5.46386230601954e-08,255.043563330603
"YJL052W","TDH1",5.03647320781448,2.71257242219287,-2.32390078562161,10.3901814316535,2.28349444427268e-10,5.79779239400832e-08,250.183741777554
"YOR047C","STD1",3.70882727129678,2.8272777211564,-0.881549550140385,2.9878864399895,2.47801927075697e-10,5.99208659852566e-08,247.16765197446
"YDL039C","PRM7",-1.66022266646702,-4.52879772533754,-2.86857505887051,3.0801623706095,2.84917482421844e-10,6.57641352608239e-08,241.556045731267
"YNR073C","MAN2",-8.11716998438702,-6.86784856740734,1.24932141697968,7.73464968918138,3.09801318503826e-10,6.83987432766273e-08,237.443095063236
"YJL217W","REE1",-8.76994076717093,-2.55069889822666,6.21924186894427,0.522947362277852,3.56443179820777e-10,7.48024235585963e-08,188.99566765922
"YPR002W","PDH1",-1.32142544152396,-3.95439588477517,-2.63297044325121,2.83399415991635,3.68267150249096e-10,7.48024235585963e-08,230.736861766612
"YOL128C","YGK3",3.67470880394159,3.15844899968567,-0.516259804255921,4.28981814524975,4.90011089926641e-10,9.57029351787494e-08,219.100441360091
"YJL158C","CIS3",-4.0881434480355,-2.41804707269828,1.67009637533722,4.56142705364026,5.08874911707241e-10,9.57061778388656e-08,217.638790395022
"YKL001C","MET14",-3.51258042393781,-1.80697787479729,1.70560254914052,4.2580232967058,5.62395375315154e-10,1.01994418423227e-07,213.862272372752
"YOR247W","SRL1",-3.7946346967488,-2.89220211286641,0.902432583882389,4.41480473911499,5.86641145102534e-10,1.02722887407954e-07,212.306067733509
"YLR092W","SUL2",-3.36632323641487,-0.135844032691665,3.2304792037232,5.16886473717126,6.22763233772544e-10,1.05413056703233e-07,210.058190529168
"YMR145C","NDE1",-3.17555054597235,-2.67376532321038,0.501785222761974,5.37715336111229,6.88397613043445e-10,1.12763970291439e-07,206.405904637496
"YJR152W","DAL5",3.37877809480176,0.937658639648947,-2.44111945515282,6.87863744424833,7.52019905819531e-10,1.19336158804737e-07,203.230500924295
"YDR089W","VTC5",2.23252903461151,2.44897366147141,0.216444626859899,3.63031881922244,8.00949325220212e-10,1.20854188690453e-07,201.055566634149
"YLR004C","THI73",2.50761230246079,3.18941196001548,0.68179965755469,3.19397008773525,8.09185194067625e-10,1.20854188690453e-07,200.797217883254
"YBL049W","MOH1",3.04980602773437,2.62192732925796,-0.427878698476409,4.91278241719038,9.0148799964342e-10,1.30793030348265e-07,196.90400742699
"YPR167C","MET16",-4.03788867943217,-2.14032905453107,1.8975596249011,4.61171499051872,9.38807637732023e-10,1.32424032900089e-07,195.533753921594
"YDL243C","AAD4",-1.12700686719152,-3.84402975271483,-2.71702288552331,6.58763800794997,9.8087774366859e-10,1.33953856932718e-07,193.999288080709
"YFL056C","AAD6",0.126091009940927,-3.44166425145579,-3.56775526139672,5.91685675399625,1.00241169031967e-09,1.33953856932718e-07,193.269619469844
"YFR015C","GSY1",-3.95798795615857,-2.78244619208395,1.17554176407462,4.35193284966535,1.28413061780299e-09,1.67200391723169e-07,185.110444026288
"YCR012W","PGK1",4.25632142572291,2.11598560819343,-2.14033581752948,9.00043428951339,1.56899178233763e-09,1.99183506767763e-07,178.655587880675
