SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YBR198C	204	163	133	127	168	83	115	137	138
YBR199W	203	146	168	466	318	240	312	327	340
YBR200W	84	47	48	170	133	67	94	93	120
YBR200W-A	6	5	1	12	7	8	9	15	7
YBR201W	57	37	45	77	123	20	38	43	54
YBR201C-A	567	440	478	154	199	75	162	210	212
YBR202W	68	39	49	129	91	71	93	93	76
YBR203W	213	159	195	370	276	242	513	653	638
YBR204C	54	29	41	77	54	26	62	77	76
YBR205W	93	64	65	170	104	94	100	95	87
YBR207W	140	85	106	164	118	84	119	109	92
YBR208C	249	154	175	799	438	660	1808	1815	1788
YBR209W	9	12	7	9	6	4	2	0	0
YNCB0017C	4	3	6	6	5	5	2	2	1
YNCB0018W	0	3	1	1	1	0	0	0	0
YBR210W	57	27	25	115	81	44	44	41	48
YBR211C	35	42	34	61	51	27	25	24	41
YBR212W	39	28	40	75	65	45	120	124	125
YBR213W	22	7	13	11	16	14	3	14	10
YBR214W	514	386	468	133	168	87	189	178	194
YBR215W	165	103	107	119	169	32	111	123	130
YBR216C	58	40	33	149	92	111	115	138	126
YBR217W	21	7	12	26	24	7	18	17	20
YBR218C	572	477	591	323	333	214	236	229	229
YBR219C	12	10	4	18	16	3	13	26	17
YBR220C	26	9	16	61	53	27	50	66	57
YBR221C	267	154	184	836	503	488	379	433	400
YBR221W-A	67	32	33	21	29	12	30	27	32
YBR222C	355	200	217	472	364	317	467	498	434
YBR223C	13	8	14	26	11	16	22	35	27
YBR225W	91	74	66	116	66	56	126	140	156
YBR227C	123	57	65	164	136	39	101	123	87
YBR228W	39	30	24	49	53	15	45	67	64
YBR229C	147	97	107	229	150	114	146	198	201
YBR230C	949	669	855	784	820	347	479	558	544
YBR230W-A	508	346	502	181	289	78	41	72	91
YNCB0019C	12750	10355	12531	10558	13078	16431	12960	14114	17845
YBR231C	57	36	37	38	28	18	42	55	49
YBR233W	30	32	28	43	54	16	34	41	33
YBR233W-A	9	10	17	32	29	8	6	8	10
YBR234C	214	139	167	261	202	157	221	219	235
YBR235W	184	125	141	297	218	215	559	617	593
YBR236C	44	40	30	87	54	42	41	61	57
YBR237W	141	95	112	156	173	61	127	145	173
YBR238C	41	42	39	86	36	32	143	141	161
YBR239C	92	52	70	100	115	44	142	181	178
YBR240C	38	39	47	17	23	11	58	85	71
YBR241C	127	87	98	88	73	77	173	160	142
YBR242W	43	31	21	80	85	30	93	116	120
YBR243C	35	23	28	53	42	27	39	41	36
YBR244W	11	7	9	8	16	10	10	23	23
YBR245C	225	171	167	215	259	83	132	135	135
YBR246W	15	19	14	57	44	33	31	36	27
YBR247C	43	24	20	55	46	32	26	37	44
YBR248C	75	53	58	151	106	97	65	75	50
YBR249C	217	135	145	315	186	187	110	129	125
YBR250W	26	17	11	7	13	5	5	5	6
YBR251W	112	69	75	114	123	42	50	60	71
YBR252W	40	29	24	40	40	25	16	11	18
YBR253W	97	70	75	87	116	30	35	51	57
YBR254C	38	27	19	75	56	48	37	42	44
YBR255W	123	75	80	133	156	51	169	271	253
YBR255C-A	157	95	114	154	157	60	84	94	104
